genes	AML1	AML2	AML3	AML4	AML5	AML6	AML7	AML8	AML9	AML10	AML11	AML12	AML13	AML14	AML15	AML16	AML17	AML18	AML19	AML20	AML21	AML22	AML23	AML24	AML25	AML26	count
CLU	NA	NA	NA	-1.78920572	-1.792716643	1.878297222	NA	1.103788111	NA	NA	NA	NA	-1.568826264	-2.014778389	NA	NA	NA	-0.666694583	-4.008248453	NA	NA	-3.17935547	3.37045806	2.250740601	-3.632143556	NA	12
IFITM1	2.955619833	-1.060181833	NA	NA	1.35326343	-1.902230139	-1.880422389	NA	NA	NA	NA	1.092130556	NA	-1.842792663	0.827231568	NA	NA	-1.321307222	-2.527320531	-2.921581969	NA	NA	NA	NA	NA	NA	11
HBEGF	NA	NA	NA	NA	0.872939369	NA	0.750381889	NA	0.555126679	NA	NA	NA	NA	-1.930723127	-0.86470627	2.212447365	NA	0.51925375	NA	-4.645799484	NA	NA	-2.753501686	NA	3.093525899	4.321005695	11
BASP1	-3.346663	1.194173056	NA	1.037207784	NA	NA	NA	NA	NA	NA	0.380558519	1.459479444	-2.705026133	-1.913476525	NA	NA	NA	NA	-3.280014594	-4.486152719	-1.387179243	NA	NA	NA	NA	NA	10
CYP1B1	4.071523611	2.410799556	NA	NA	NA	0.989566667	NA	NA	NA	NA	NA	1.368178722	NA	-4.110564074	NA	-2.211736277	NA	-0.966122639	-3.057573281	-6.30936825	NA	NA	NA	NA	NA	4.303225341	10
TRIB1	1.448251889	NA	NA	-1.328877348	2.014455196	NA	-0.826787778	NA	1.037577429	0.883238218	0.561161938	NA	NA	-2.355608545	-1.940632586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.101279537	10
CXCL8	-3.369190778	3.744939667	NA	NA	1.805869836	NA	NA	NA	0.698461235	0.887998722	0.365639784	NA	1.567778318	-2.450026501	-2.453039817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.799144944	10
SAT1	-1.495373167	1.485130333	NA	NA	0.892433625	NA	-0.817128722	-0.439824	1.058769724	0.630946557	0.378493197	NA	NA	-2.658688294	-1.309662328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10
PTGS2	NA	1.875485333	NA	NA	1.612494225	NA	-2.232869833	NA	NA	1.068479577	NA	NA	NA	-2.713583349	NA	NA	NA	NA	-3.660033875	-3.165196281	-1.890557348	-5.341584616	NA	NA	NA	4.12401822	10
IL1B	NA	1.679268778	NA	NA	NA	-2.671421111	-3.090336278	NA	NA	NA	NA	NA	NA	-2.892765269	-0.89999631	3.39164118	NA	0.844775972	NA	NA	NA	-4.670823187	-3.254375023	NA	NA	4.42129438	10
MPO	-4.883765722	-4.968345889	NA	NA	NA	NA	NA	NA	NA	-1.863505548	0.896658255	NA	-2.064879883	1.888118868	NA	NA	2.994976089	NA	NA	NA	-3.849056271	4.751614018	NA	NA	NA	NA	9
CYTL1	-2.223513722	-0.943057056	NA	NA	-1.53537603	NA	NA	NA	-0.853055224	-0.552786368	NA	NA	NA	3.73140281	NA	NA	NA	NA	NA	2.627570938	NA	NA	NA	2.296596123	-2.355617284	NA	9
ANGPT1	2.1529915	-1.453735333	NA	-1.085788712	1.759709394	NA	NA	NA	NA	NA	NA	NA	NA	3.442159973	NA	-1.889521697	NA	NA	NA	5.195575188	1.514379531	NA	NA	2.429810459	NA	NA	9
NKAIN2	NA	NA	NA	1.705792538	-1.530558563	NA	NA	NA	-1.241545224	-0.583352575	NA	NA	-3.382031313	NA	NA	NA	NA	NA	NA	NA	NA	-2.944646121	NA	2.678954947	2.574689763	-5.945116559	9
HCK	NA	1.220553444	NA	NA	1.078198854	NA	-1.004071014	NA	0.542832959	NA	NA	NA	3.499414065	-3.049434648	NA	NA	NA	NA	NA	-4.233527625	NA	NA	4.185898705	NA	NA	5.292231956	9
CFD	NA	-1.275462667	NA	NA	NA	NA	NA	NA	0.585867296	NA	NA	NA	2.209812224	3.35308119	NA	NA	-1.640224141	NA	3.091815125	3.130689563	1.948641124	NA	5.768269289	NA	NA	NA	9
IL18RAP	4.959406556	NA	NA	NA	NA	NA	-1.2933365	0.496569259	NA	NA	NA	-1.603405556	NA	-3.322282069	NA	NA	NA	NA	-3.260437281	-3.798771313	-2.195768532	NA	NA	NA	NA	NA	8
SERPINE2	-4.562741222	-0.962330444	NA	NA	NA	1.752035556	NA	0.550356056	-0.728776801	-0.845200995	NA	NA	NA	NA	NA	-2.179924501	NA	NA	NA	NA	-2.304557653	NA	NA	NA	NA	NA	8
RNASE2	-1.908897222	-1.847196556	NA	NA	NA	NA	NA	-0.756353445	NA	-0.878567347	0.90131471	-2.33059	NA	NA	NA	NA	NA	NA	-2.247062875	NA	NA	3.654237092	NA	NA	NA	NA	8
TSPAN13	1.968498111	NA	NA	NA	NA	-1.521606944	-0.743544222	NA	NA	NA	NA	NA	NA	NA	-1.34282369	NA	1.888408277	1.020226528	NA	NA	-1.754540226	NA	NA	NA	2.567838108	NA	8
GATM	-1.315464889	-1.097704167	NA	NA	-1.121463566	NA	1.633909389	NA	-0.590161724	-0.618235345	NA	NA	-1.528232146	NA	NA	-1.938078959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
MS4A3	-1.415846278	-1.1626855	NA	NA	NA	NA	NA	NA	NA	-1.731370396	NA	-1.119193889	-1.931462184	NA	NA	NA	-2.251373315	NA	NA	NA	-2.728204819	5.649930866	NA	NA	NA	NA	8
IGFBP2	1.954830667	NA	NA	-0.941926174	NA	NA	NA	NA	NA	NA	NA	1.886686111	NA	NA	NA	-3.888033895	NA	NA	NA	NA	1.36454164	-3.693726413	-3.163678229	NA	2.853905605	NA	8
ANXA5	-1.256962389	NA	NA	-0.902064318	-2.368708993	NA	NA	-0.445876741	-0.549853352	NA	NA	NA	NA	-3.794281454	NA	NA	NA	NA	NA	-3.659083781	-1.411601234	NA	NA	NA	NA	NA	8
MYB	-1.185858833	NA	NA	NA	NA	NA	1.106620861	NA	NA	-0.512918371	NA	NA	NA	4.018412851	NA	3.296035269	NA	NA	NA	3.479207125	NA	5.215439068	NA	NA	1.892288538	NA	8
SPP1	-2.532622944	-1.858960389	2.649254833	NA	NA	3.683051111	NA	NA	NA	NA	NA	1.205717833	NA	NA	NA	NA	NA	NA	3.201665438	NA	NA	NA	-3.407182903	NA	3.452648571	NA	8
RAD51AP1	1.464745278	-1.367804333	-1.745872361	0.915299811	-0.841017837	NA	NA	NA	NA	-0.546035495	NA	NA	-2.216761193	NA	NA	NA	NA	NA	NA	NA	-1.279769678	NA	NA	NA	NA	NA	8
