genes	logFC
ADAM19	-1.657943271
ADGRE5	1.53452849
ADM	-0.913357984
AHNAK	0.013975649
ANGPT1	1.340620034
ANPEP	-0.633271959
ANXA3	-0.176059605
ANXA5	-1.798554033
AQP9	0.94330931
ATP8B4	1.998149186
BAALC	-1.700843788
BASP1	-1.304709341
BHLHE40	0.7828749
BTG2	-0.283549992
C3AR1	-0.083563443
C3orf14	-2.940394499
C5AR1	-0.664904541
CA1	-1.477295641
CA2	-2.155117296
CCL3	0.971378998
CCL3L1	0.643408072
CCNA1	1.3925918
CCNA2	-1.280043867
CCNB1	-1.414299843
CCNB2	-0.882722571
CD14	-0.019761905
CD177	-3.426693701
CD24	-1.255209666
CD34	0.435532407
CD36	0.723684281
CD38	0.105211003
CD48	-2.197748571
CD80	1.927669301
CD99	1.214714464
CDC20	-1.492707436
CDK1	-1.332448498
CDKN1A	1.661673331
CDKN3	-1.321236315
CEBPA	-0.265314205
CENPW	-0.651323992
CFD	1.908054334
CHI3L1	-0.494742855
CHST15	-0.351690428
CLEC4A	-0.477535749
CLEC4E	0.344229874
CLU	-0.837390424
CPVL	-1.995185714
CRIP1	0.789288145
CTSG	-1.702199093
CTSS	-1.210147258
CXCL8	0.959757541
CXCR4	-1.031375776
CYBB	-0.846983112
CYP1B1	-0.351207062
CYTIP	-0.873907693
CYTL1	0.021351576
DENND3	1.006672052
DOCK10	-1.078179003
DSG2	-2.079073997
DUSP1	-1.300075489
DUSP5	0.955877631
DYSF	0.980757917
ELANE	-0.881022021
EPSTI1	-0.795464856
EVI2A	0.579325355
FBP1	0.137246519
FCAR	-0.21810218
FCER1G	0.635272515
FCGR2A	-0.809531434
FCN1	-0.882640477
FGFR2	-1.410602035
FGL2	-1.174204562
FGR	0.46273669
FLT3	2.690858201
FNBP1L	0.476662724
FOS	-1.335125433
FPR1	-1.504543772
FPR2	-2.279836333
GADD45B	0.415897137
GAS7	0.051827762
GATM	-0.821928926
GBP2	0.172184233
GPR141	-0.409015623
HBB	-2.765038863
HBD	-2.894155238
HBEGF	0.193631825
HCK	0.836899633
HMOX1	0.565005705
HPGDS	0.977360739
IBSP	-0.097935783
ID2	-1.098780719
IER2	0.080559987
IFI30	0.095620793
IFITM1	-0.65705376
IFITM2	-1.190589222
IGFBP2	-0.453425086
IL18RAP	-1.25225318
IL1A	1.02067336
IL1B	-0.714273687
IL1R2	-0.106728791
IL1RAP	1.228536357
IL32	0.655512343
ITGAX	0.75818431
JCHAIN	-1.715167326
JUN	1.145197082
KCNJ2	-0.601396306
KIT	1.580745116
KLF12	-1.070908874
KRT18	1.452167549
LAPTM4B	-0.159471895
LCN2	-2.592467283
LEF1	-2.032691377
LIN7A	-1.723071383
LITAF	-0.710178552
LXN	-1.307130329
LY96	-0.639460814
MAMDC2	3.214225719
MARCKS	-0.194082739
MCM4	-0.741749012
MCUB	-1.306401036
MEST	1.072552378
MKI67	-1.426688617
MME	-1.357652843
MMP25	-0.684783145
MMP9	0.91938131
MPO	-0.788687343
MS4A3	-0.836275689
MYB	2.163653314
MYC	-0.229084937
MYCT1	-0.781645942
MYH10	-2.757109276
MYO1F	-0.074931183
NAMPT	-2.066844018
NAP1L3	-2.921057746
NFKBIA	-0.265058147
NFKBIZ	-1.579106719
NKAIN2	-0.963090345
NPR3	-0.17374773
NR4A2	-0.576112002
NUSAP1	-1.031854401
OLFML2A	0.081017191
OSCAR	0.623398854
PCED1B	-0.501614112
PDE4B	0.185971972
PF4	-2.139059534
PFAS	-0.824579581
PLBD1	-2.797306629
PLOD2	-0.944195371
PLXNC1	-1.742479162
PMAIP1	0.695104975
PRG2	-2.11638486
PROK2	3.117697253
PROM1	0.035598172
PTGS2	-1.032334795
PTH2R	3.325396145
RAD51AP1	-0.702151976
RASGRP1	-0.791914915
RASGRP3	1.898999422
RGS1	0.251634423
RGS2	-0.142116916
RHOB	1.066398941
RNASE2	-0.676639455
S100A8	-0.987464276
S100P	2.127533468
SAT1	-0.227490308
SERPINE2	-1.160142501
SGK1	-0.632762514
SGPP1	-1.28649875
SLC2A3	-1.178798668
SLC40A1	-0.948950641
SLPI	0.02202187
SORL1	0.338437585
SPP1	0.799196444
TFPI	1.475977742
TGFBI	-2.092299009
THBS1	-0.163433985
TM4SF1	1.169646231
TM6SF1	0.537307739
TMEM176A	0.846512267
TMEM176B	0.851479849
TMEM71	1.477563969
TNFSF10	-0.619984692
TOP2A	-1.354763827
TPSAB1	1.457521801
TPX2	-1.044116076
TRIB1	0.359405795
TRIB2	0.086819606
TSPAN13	0.260306993
TYROBP	1.297306829
WT1	2.818079598
ZFP36	-1.195428036
