genes	entrez	logFC
ADAM19	8728	-1.65794327066667
ADGRE5	976	1.53452849014286
ADM	133	-0.913357983714286
AHNAK	79026	0.0139756491666667
ANGPT1	284	1.34062003366667
ANPEP	290	-0.633271958571429
ANXA3	306	-0.176059605
ANXA5	308	-1.79855403275
AQP9	366	0.943309309833333
ATP8B4	79895	1.99814918642857
BAALC	79870	-1.700843788
BASP1	10409	-1.3047093411
BHLHE40	8553	0.7828749
BTG2	7832	-0.283549991666667
C3AR1	719	-0.0835634428333334
C3orf14	57415	-2.94039449871429
C5AR1	728	-0.664904541285714
CA1	759	-1.4772956405
CA2	760	-2.155117296
CCL3	6348	0.971378998333333
CCL3L1	6349	0.643408072428572
CCNA1	8900	1.39259179985714
CCNA2	890	-1.28004386714286
CCNB1	891	-1.41429984285714
CCNB2	9133	-0.882722571333333
CD14	929	-0.0197619046666668
CD177	57126	-3.42669370142857
CD24	100133941	-1.25520966633333
CD34	947	0.435532407142857
CD36	948	0.723684280666667
CD38	952	0.105211003
CD48	962	-2.19774857142857
CD80	941	1.92766930066667
CD99	4267	1.21471446383333
CDC20	991	-1.492707436
CDK1	983	-1.33244849783333
CDKN1A	1026	1.66167333083333
CDKN3	1033	-1.32123631466667
CEBPA	1050	-0.265314205166667
CENPW	387103	-0.651323992166667
CFD	1675	1.90805433366667
CHI3L1	1116	-0.4947428545
CHST15	51363	-0.351690427714286
CLEC4A	50856	-0.477535748666667
CLEC4E	26253	0.344229873666667
CLU	1191	-0.837390423666667
CPVL	54504	-1.99518571433333
CRIP1	1396	0.789288144875
CTSG	1511	-1.70219909266667
CTSS	1520	-1.2101472575
CXCL8	3576	0.959757541
CXCR4	7852	-1.03137577583333
CYBB	1536	-0.846983112
CYP1B1	1545	-0.3512070624
CYTIP	9595	-0.8739076925
CYTL1	54360	0.0213515763333334
DENND3	22898	1.00667205157143
DOCK10	55619	-1.07817900333333
DSG2	1829	-2.07907399666667
DUSP1	1843	-1.30007548916667
DUSP5	1847	0.9558776305
DYSF	8291	0.980757917285714
ELANE	1991	-0.881022020714286
EPSTI1	94240	-0.795464855833333
EVI2A	2123	0.579325355
FBP1	2203	0.137246519333333
FCAR	2204	-0.218102180333333
FCER1G	2207	0.635272515
FCGR2A	2212	-0.809531434166667
FCN1	2219	-0.882640476857143
FGFR2	2263	-1.41060203516667
FGL2	10875	-1.17420456233333
FGR	2268	0.4627366895
FLT3	2322	2.69085820114286
FNBP1L	54874	0.476662724
FOS	2353	-1.33512543257143
FPR1	2357	-1.504543772375
FPR2	2358	-2.27983633266667
GADD45B	4616	0.415897137
GAS7	8522	0.0518277616666667
GATM	2628	-0.821928925875
GBP2	2634	0.172184233333333
GPR141	353345	-0.409015623333333
HBB	3043	-2.7650388625
HBD	3045	-2.89415523816667
HBD	100187828	-2.89415523816667
HBEGF	1839	0.193631825363636
HCK	3055	0.836899632888889
HLA-DQA1	3117	-2.49588037233333
HMOX1	3162	0.565005705
HPGDS	27306	0.977360739
IBSP	3381	-0.0979357831666668
ID2	3398	-1.098780718625
IER2	9592	0.0805599868333333
IFI30	10437	0.0956207927142856
IFITM1	8519	-0.657053759909091
IFITM2	10581	-1.19058922185714
IGFBP2	3485	-0.453425086
IL18RAP	8807	-1.2522531795
IL1A	3552	1.02067336028571
IL1B	3553	-0.7142736868
IL1R2	7850	-0.106728791166667
IL1RAP	3556	1.22853635666667
IL32	9235	0.655512342666667
ITGAX	3687	0.75818430975
JCHAIN	3512	-1.71516732583333
JUN	3725	1.145197082
KCNJ2	3759	-0.601396305666667
KIT	3815	1.58074511566667
KLF12	11278	-1.070908874
KRT18	3875	1.45216754928571
LAPTM4B	55353	-0.159471895166667
LCN2	3934	-2.59246728266667
LEF1	51176	-2.03269137666667
LIN7A	8825	-1.72307138266667
LITAF	9516	-0.710178551833333
LXN	56925	-1.30713032916667
LY96	23643	-0.639460813857143
MAMDC2	256691	3.214225719
MARCKS	4082	-0.194082738857143
MCM4	4173	-0.7417490115
MCUB	55013	-1.30640103616667
MEST	4232	1.07255237842857
MKI67	4288	-1.42668861666667
MME	4311	-1.35765284266667
MMP25	64386	-0.684783144666667
MMP9	4318	0.91938131
MPO	4353	-0.788687342555556
MS4A3	932	-0.836275689375
MYB	4602	2.1636533135
MYC	4609	-0.229084937
MYCT1	80177	-0.781645941857143
MYH10	4628	-2.75710927633333
MYO1F	4542	-0.0749311833333333
